comunidad,sexo,edad,total,edad_min,edad_max
Comunitat Valenciana,hombres,De 90 a 94 años,6.0,90.0,94.0
Comunitat Valenciana,hombres,De 95 años y más,2.0,,
Comunitat Valenciana,mujeres,Todas las edades,117.0,,
Comunitat Valenciana,mujeres,Menores de 15 años,1.0,,
Comunitat Valenciana,mujeres,De 15 a 29 años,11.0,15.0,29.0
Comunitat Valenciana,mujeres,De 30 a 39 años,10.0,30.0,39.0
Comunitat Valenciana,mujeres,De 40 a 44 años,8.0,40.0,44.0
Comunitat Valenciana,mujeres,De 45 a 49 años,16.0,45.0,49.0
Comunitat Valenciana,mujeres,De 50 a 54 años,14.0,50.0,54.0
Comunitat Valenciana,mujeres,De 55 a 59 años,13.0,55.0,59.0
Comunitat Valenciana,mujeres,De 60 a 64 años,13.0,60.0,64.0
Comunitat Valenciana,mujeres,De 65 a 69 años,6.0,65.0,69.0
Comunitat Valenciana,mujeres,De 70 a 74 años,10.0,70.0,74.0
Comunitat Valenciana,mujeres,De 75 a 79 años,3.0,75.0,79.0
